"","Offspring","Date","Order","BirdID","Cohort"
"149",3,"25/10/2009",2,199,2009
"150",3,"25/10/2009",2,199,2009
"151",0,"25/10/2009",2,252,2009
"152",0,"25/10/2009",2,252,2009
"153",1,"25/10/2009",1,569,2009
"154",1,"25/10/2009",1,569,2009
"155",0,"26/10/2009",3,71,2009
"156",0,"26/10/2009",3,71,2009
"157",1,"26/10/2009",3,252,2009
"158",1,"26/10/2009",3,252,2009
"159",0,"26/10/2009",1,301,2009
"160",0,"26/10/2009",1,301,2009
"161",0,"26/10/2009",2,307,2009
"162",0,"26/10/2009",2,307,2009
"163",0,"28/10/2009",1,34,2009
"164",0,"28/10/2009",1,34,2009
"165",3,"28/10/2009",2,308,2009
"166",3,"28/10/2009",2,308,2009
"167",1,"29/10/2009",2,234,2009
"168",1,"29/10/2009",2,234,2009
"169",0,"29/10/2009",2,350,2009
"170",0,"29/10/2009",2,350,2009
"171",0,"30/10/2009",1,58,2009
"172",0,"30/10/2009",1,58,2009
"173",0,"31/10/2009",1,17,2009
"174",0,"31/10/2009",1,17,2009
"175",1,"31/10/2009",2,79,2009
"176",1,"31/10/2009",2,79,2009
"177",1,"1/11/2009",2,77,2009
"178",1,"1/11/2009",2,77,2009
"179",3,"1/11/2009",3,180,2009
"180",3,"1/11/2009",3,180,2009
"181",0,"1/11/2009",1,242,2009
"182",0,"1/11/2009",1,242,2009
"183",4,"2/11/2009",2,394,2009
"184",4,"2/11/2009",2,394,2009
"185",1,"2/11/2009",2,469,2009
"186",1,"2/11/2009",2,469,2009
"187",0,"3/11/2009",1,364,2009
"188",0,"3/11/2009",1,364,2009
"189",1,"4/11/2009",1,140,2009
"190",1,"4/11/2009",1,140,2009
"191",0,"4/11/2009",3,433,2009
"192",0,"4/11/2009",3,433,2009
"193",0,"4/11/2009",1,435,2009
"194",0,"4/11/2009",1,435,2009
"195",0,"4/11/2009",2,693,2009
"196",0,"4/11/2009",2,693,2009
"197",2,"5/11/2009",2,20,2009
"198",2,"5/11/2009",2,20,2009
"199",0,"5/11/2009",1,55,2009
"200",0,"5/11/2009",1,55,2009
"201",4,"5/11/2009",1,272,2009
"202",4,"5/11/2009",1,272,2009
"203",1,"5/11/2009",2,472,2009
"204",1,"5/11/2009",2,472,2009
"205",0,"5/11/2009",2,556,2009
"206",0,"5/11/2009",2,556,2009
"207",1,"5/11/2009",2,569,2009
"208",1,"5/11/2009",2,569,2009
"209",0,"6/11/2009",1,158,2009
"210",0,"6/11/2009",1,158,2009
"211",0,"7/11/2009",1,45,2009
"212",0,"7/11/2009",1,45,2009
"213",0,"7/11/2009",2,99,2009
"214",0,"7/11/2009",2,99,2009
"215",3,"7/11/2009",3,239,2009
"216",3,"7/11/2009",3,239,2009
"217",0,"7/11/2009",2,603,2009
"218",0,"7/11/2009",2,603,2009
"219",0,"7/11/2009",2,621,2009
"220",0,"7/11/2009",2,621,2009
"221",1,"8/11/2009",3,21,2009
"222",1,"8/11/2009",3,21,2009
"223",1,"8/11/2009",4,50,2009
"224",1,"8/11/2009",4,50,2009
"225",3,"8/11/2009",3,308,2009
"226",3,"8/11/2009",3,308,2009
"227",0,"8/11/2009",3,603,2009
"228",0,"8/11/2009",3,603,2009
"229",3,"9/11/2009",2,319,2009
"230",3,"9/11/2009",2,319,2009
"231",0,"9/11/2009",3,350,2009
"232",0,"9/11/2009",3,350,2009
"233",0,"9/11/2009",3,444,2009
"234",0,"9/11/2009",3,444,2009
"235",0,"9/11/2009",3,565,2009
"236",0,"9/11/2009",3,565,2009
"237",2,"9/11/2009",3,621,2009
"238",2,"9/11/2009",3,621,2009
"239",0,"10/11/2009",0,558,2009
"240",0,"10/11/2009",0,558,2009
"241",2,"10/11/2009",1,609,2009
"242",2,"10/11/2009",1,609,2009
"243",0,"11/11/2009",3,12,2009
"244",0,"11/11/2009",3,12,2009
"245",0,"11/11/2009",3,20,2009
"246",0,"11/11/2009",3,20,2009
"247",4,"12/11/2009",1,142,2009
"248",4,"12/11/2009",1,142,2009
"249",0,"13/11/2009",4,71,2009
"250",0,"13/11/2009",4,71,2009
"251",0,"13/11/2009",2,136,2009
"252",0,"13/11/2009",2,136,2009
"253",4,"13/11/2009",3,307,2009
"254",4,"13/11/2009",3,307,2009
"255",2,"13/11/2009",3,657,2009
"256",2,"13/11/2009",3,657,2009
"257",0,"15/11/2009",2,606,2009
"258",0,"15/11/2009",2,606,2009
"259",0,"16/11/2009",3,569,2009
"260",0,"16/11/2009",3,569,2009
"261",1,"17/11/2009",3,77,2009
"262",1,"17/11/2009",3,77,2009
"263",3,"17/11/2009",4,308,2009
"264",3,"17/11/2009",4,308,2009
"265",0,"18/11/2009",2,55,2009
"266",0,"18/11/2009",2,55,2009
"267",4,"18/11/2009",2,124,2009
"268",4,"18/11/2009",2,124,2009
"269",0,"18/11/2009",4,657,2009
"270",0,"18/11/2009",4,657,2009
"271",3,"19/11/2009",1,141,2009
"272",3,"19/11/2009",1,141,2009
"273",0,"21/11/2009",3,316,2009
"274",0,"21/11/2009",3,316,2009
"275",0,"22/11/2009",2,316,2009
"276",0,"22/11/2009",2,316,2009
"277",0,"22/11/2009",2,645,2009
"278",0,"22/11/2009",2,645,2009
"279",0,"23/11/2009",2,19,2009
"280",0,"23/11/2009",2,19,2009
"281",3,"23/11/2009",2,45,2009
"282",3,"23/11/2009",2,45,2009
"283",1,"23/11/2009",3,190,2009
"284",1,"23/11/2009",3,190,2009
"285",2,"23/11/2009",5,239,2009
"286",2,"23/11/2009",5,239,2009
"287",1,"24/11/2009",3,79,2009
"288",1,"24/11/2009",3,79,2009
"289",0,"24/11/2009",1,341,2009
"290",0,"24/11/2009",1,341,2009
"291",0,"24/11/2009",3,408,2009
"292",0,"24/11/2009",3,408,2009
"293",3,"24/11/2009",2,470,2009
"294",3,"24/11/2009",2,470,2009
"295",2,"24/11/2009",2,609,2009
"296",2,"24/11/2009",2,609,2009
"297",3,"25/11/2009",1,113,2009
"298",3,"25/11/2009",1,113,2009
"299",1,"25/11/2009",3,429,2009
"300",1,"25/11/2009",3,429,2009
"301",1,"26/11/2009",3,55,2009
"302",1,"26/11/2009",3,55,2009
"303",1,"26/11/2009",2,301,2009
"304",1,"26/11/2009",2,301,2009
"305",1,"28/11/2009",2,34,2009
"306",1,"28/11/2009",2,34,2009
"307",1,"28/11/2009",3,199,2009
"308",1,"28/11/2009",3,199,2009
"309",1,"28/11/2009",2,631,2009
"310",1,"28/11/2009",2,631,2009
"311",3,"30/11/2009",3,99,2009
"312",3,"30/11/2009",3,99,2009
"313",0,"30/11/2009",3,556,2009
"314",0,"30/11/2009",3,556,2009
"315",0,"1/12/2009",2,479,2009
"316",0,"1/12/2009",2,479,2009
"317",3,"1/12/2009",3,645,2009
"318",3,"1/12/2009",3,645,2009
"319",2,"2/12/2009",4,35,2009
"320",2,"2/12/2009",4,35,2009
"321",0,"2/12/2009",2,242,2009
"322",0,"2/12/2009",2,242,2009
"323",0,"2/12/2009",4,433,2009
"324",0,"2/12/2009",4,433,2009
"325",0,"3/12/2009",4,565,2009
"326",0,"3/12/2009",4,565,2009
"327",0,"4/12/2009",5,50,2009
"328",0,"4/12/2009",5,50,2009
"329",0,"4/12/2009",3,469,2009
"330",0,"4/12/2009",3,469,2009
"331",0,"5/12/2009",3,472,2009
"332",0,"5/12/2009",3,472,2009
"333",0,"5/12/2009",0,539,2009
"334",0,"5/12/2009",0,539,2009
"335",0,"6/12/2009",4,350,2009
"336",0,"6/12/2009",4,350,2009
"337",0,"6/12/2009",5,657,2009
"338",0,"6/12/2009",5,657,2009
"339",3,"7/12/2009",1,513,2009
"340",3,"7/12/2009",1,513,2009
"341",3,"7/12/2009",4,569,2009
"342",3,"7/12/2009",4,569,2009
"343",3,"8/12/2009",4,603,2009
"344",3,"8/12/2009",4,603,2009
"345",0,"9/12/2009",4,20,2009
"346",0,"9/12/2009",4,20,2009
"347",0,"9/12/2009",5,71,2009
"348",0,"9/12/2009",5,71,2009
"349",0,"9/12/2009",2,364,2009
"350",0,"9/12/2009",2,364,2009
"351",3,"9/12/2009",4,429,2009
"352",3,"9/12/2009",4,429,2009
"353",2,"10/12/2009",3,19,2009
"354",2,"10/12/2009",3,19,2009
"355",1,"10/12/2009",3,234,2009
"356",1,"10/12/2009",3,234,2009
"357",3,"10/12/2009",6,239,2009
"358",3,"10/12/2009",6,239,2009
"359",4,"10/12/2009",3,394,2009
"360",4,"10/12/2009",3,394,2009
"361",1,"11/12/2009",4,180,2009
"362",1,"11/12/2009",4,180,2009
"363",0,"11/12/2009",4,444,2009
"364",0,"11/12/2009",4,444,2009
"365",1,"12/12/2009",4,12,2009
"366",1,"12/12/2009",4,12,2009
"367",0,"12/12/2009",3,136,2009
"368",0,"12/12/2009",3,136,2009
"369",4,"12/12/2009",3,148,2009
"370",4,"12/12/2009",3,148,2009
"371",3,"13/12/2009",2,272,2009
"372",3,"13/12/2009",2,272,2009
"373",4,"13/12/2009",4,307,2009
"374",4,"13/12/2009",4,307,2009
"375",2,"13/12/2009",2,405,2009
"376",2,"13/12/2009",2,405,2009
"377",4,"14/12/2009",2,142,2009
"378",4,"14/12/2009",2,142,2009
"379",3,"14/12/2009",3,479,2009
"380",3,"14/12/2009",3,479,2009
"381",3,"15/12/2009",3,301,2009
"382",3,"15/12/2009",3,301,2009
"383",0,"16/12/2009",2,17,2009
"384",0,"16/12/2009",2,17,2009
"385",0,"18/12/2009",4,77,2009
"386",0,"18/12/2009",4,77,2009
"387",0,"18/12/2009",2,141,2009
"388",0,"18/12/2009",2,141,2009
"389",1,"19/12/2009",4,316,2009
"390",1,"19/12/2009",4,316,2009
"391",1,"19/12/2009",3,631,2009
"392",1,"19/12/2009",3,631,2009
"393",4,"20/12/2009",4,394,2009
"394",4,"20/12/2009",4,394,2009
"395",1,"20/12/2009",3,470,2009
"396",1,"20/12/2009",3,470,2009
"397",3,"21/12/2009",3,124,2009
"398",3,"21/12/2009",3,124,2009
"399",1,"21/12/2009",5,180,2009
"400",1,"21/12/2009",5,180,2009
"401",3,"21/12/2009",5,569,2009
"402",3,"21/12/2009",5,569,2009
"403",3,"22/12/2009",4,10,2009
"404",3,"22/12/2009",4,10,2009
"405",3,"24/12/2009",6,50,2009
"406",3,"24/12/2009",6,50,2009
"407",4,"25/12/2009",6,657,2009
"408",4,"25/12/2009",6,657,2009
"409",3,"26/12/2009",4,99,2009
"410",3,"26/12/2009",4,99,2009
"411",1,"26/12/2009",3,609,2009
"412",1,"26/12/2009",3,609,2009
"413",1,"27/12/2009",3,45,2009
"414",1,"27/12/2009",3,45,2009
"415",3,"28/12/2009",6,180,2009
"416",3,"28/12/2009",6,180,2009
"417",3,"29/12/2009",5,308,2009
"418",3,"29/12/2009",5,308,2009
"419",3,"30/12/2009",5,433,2009
"420",3,"30/12/2009",5,433,2009
"421",0,"1/01/2010",5,77,2009
"422",0,"1/01/2010",5,77,2009
"423",0,"1/01/2010",3,693,2009
"424",0,"1/01/2010",3,693,2009
"425",3,"2/01/2010",3,242,2009
"426",3,"2/01/2010",3,242,2009
"427",0,"4/01/2010",5,20,2009
"428",0,"4/01/2010",5,20,2009
"429",3,"4/01/2010",4,472,2009
"430",3,"4/01/2010",4,472,2009
"431",3,"4/01/2010",4,556,2009
"432",3,"4/01/2010",4,556,2009
"433",3,"5/01/2010",5,35,2009
"434",3,"5/01/2010",5,35,2009
"435",0,"6/01/2010",5,12,2009
"436",0,"6/01/2010",5,12,2009
"437",1,"6/01/2010",7,657,2009
"438",1,"6/01/2010",7,657,2009
"439",1,"9/01/2010",4,190,2009
"440",1,"9/01/2010",4,190,2009
"441",2,"10/01/2010",1,505,2009
"442",2,"10/01/2010",1,505,2009
"443",1,"12/01/2010",3,319,2009
"444",1,"12/01/2010",3,319,2009
"445",3,"15/01/2010",4,21,2009
"446",3,"15/01/2010",4,21,2009
"447",0,"15/01/2010",4,469,2009
"448",0,"15/01/2010",4,469,2009
"449",4,"16/01/2010",4,479,2009
"450",4,"16/01/2010",4,479,2009
"451",1,"23/01/2010",4,79,2009
"452",1,"23/01/2010",4,79,2009
"453",3,"28/01/2010",4,693,2009
"454",3,"28/01/2010",4,693,2009
"455",0,"24/02/2010",5,79,2009
"456",0,"24/02/2010",5,79,2009
"457",3,"1/03/2010",6,35,2009
"458",3,"1/03/2010",6,35,2009
"459",3,"2/09/2010",1,21,2010
"460",3,"2/09/2010",1,21,2010
"461",1,"12/09/2010",1,79,2010
"462",1,"12/09/2010",1,79,2010
"463",1,"15/09/2010",1,99,2010
"464",1,"15/09/2010",1,99,2010
"465",2,"15/09/2010",1,405,2010
"466",2,"15/09/2010",1,405,2010
"467",0,"17/09/2010",1,140,2010
"468",0,"17/09/2010",1,140,2010
"469",0,"18/09/2010",1,20,2010
"470",0,"18/09/2010",1,20,2010
"471",1,"19/09/2010",2,140,2010
"472",1,"19/09/2010",2,140,2010
"473",0,"20/09/2010",1,472,2010
"474",0,"20/09/2010",1,472,2010
"475",0,"21/09/2010",1,645,2010
"476",0,"21/09/2010",1,645,2010
"477",4,"22/09/2010",1,307,2010
"478",4,"22/09/2010",1,307,2010
"479",3,"25/09/2010",1,17,2010
"480",3,"25/09/2010",1,17,2010
"481",0,"25/09/2010",2,99,2010
"482",0,"25/09/2010",2,99,2010
"483",4,"25/09/2010",1,180,2010
"484",4,"25/09/2010",1,180,2010
"485",3,"27/09/2010",2,79,2010
"486",3,"27/09/2010",2,79,2010
"487",0,"28/09/2010",2,21,2010
"488",0,"28/09/2010",2,21,2010
"489",0,"28/09/2010",1,693,2010
"490",0,"28/09/2010",1,693,2010
"491",2,"29/09/2010",1,50,2010
"492",2,"29/09/2010",1,50,2010
"493",0,"30/09/2010",1,45,2010
"494",0,"30/09/2010",1,45,2010
"495",3,"30/09/2010",1,113,2010
"496",3,"30/09/2010",1,113,2010
"497",1,"30/09/2010",1,234,2010
"498",1,"30/09/2010",1,234,2010
"499",3,"30/09/2010",1,429,2010
"500",3,"30/09/2010",1,429,2010
"501",0,"30/09/2010",1,637,2010
"502",0,"30/09/2010",1,637,2010
"503",0,"30/09/2010",1,703,2010
"504",0,"30/09/2010",1,703,2010
"505",1,"1/10/2010",1,6,2010
"506",1,"1/10/2010",1,6,2010
"507",0,"1/10/2010",1,350,2010
"508",0,"1/10/2010",1,350,2010
"509",3,"2/10/2010",1,310,2010
"510",3,"2/10/2010",1,310,2010
"511",1,"2/10/2010",1,341,2010
"512",1,"2/10/2010",1,341,2010
"513",3,"2/10/2010",2,405,2010
"514",3,"2/10/2010",2,405,2010
"515",3,"2/10/2010",2,703,2010
"516",3,"2/10/2010",2,703,2010
"517",4,"3/10/2010",1,242,2010
"518",4,"3/10/2010",1,242,2010
"519",1,"3/10/2010",1,444,2010
"520",1,"3/10/2010",1,444,2010
"521",2,"4/10/2010",1,190,2010
"522",2,"4/10/2010",1,190,2010
"523",1,"4/10/2010",1,433,2010
"524",1,"4/10/2010",1,433,2010
"525",2,"4/10/2010",1,565,2010
"526",2,"4/10/2010",1,565,2010
"527",0,"5/10/2010",1,631,2010
"528",0,"5/10/2010",1,631,2010
"529",0,"6/10/2010",1,199,2010
"530",0,"6/10/2010",1,199,2010
"531",1,"6/10/2010",1,319,2010
"532",1,"6/10/2010",1,319,2010
"533",2,"6/10/2010",1,673,2010
"534",2,"6/10/2010",1,673,2010
"535",0,"7/10/2010",2,429,2010
"536",0,"7/10/2010",2,429,2010
"537",1,"7/10/2010",1,600,2010
"538",1,"7/10/2010",1,600,2010
"539",0,"7/10/2010",1,612,2010
"540",0,"7/10/2010",1,612,2010
"541",0,"7/10/2010",1,657,2010
"542",0,"7/10/2010",1,657,2010
"543",0,"7/10/2010",2,693,2010
"544",0,"7/10/2010",2,693,2010
"545",0,"8/10/2010",1,597,2010
"546",0,"8/10/2010",1,597,2010
"547",0,"8/10/2010",2,612,2010
"548",0,"8/10/2010",2,612,2010
"549",0,"9/10/2010",1,5,2010
"550",0,"9/10/2010",1,5,2010
"551",3,"9/10/2010",1,35,2010
"552",3,"9/10/2010",1,35,2010
"553",2,"9/10/2010",1,142,2010
"554",2,"9/10/2010",1,142,2010
"555",2,"10/10/2010",2,50,2010
"556",2,"10/10/2010",2,50,2010
"557",0,"10/10/2010",2,307,2010
"558",0,"10/10/2010",2,307,2010
"559",4,"10/10/2010",1,469,2010
"560",4,"10/10/2010",1,469,2010
"561",0,"10/10/2010",1,606,2010
"562",0,"10/10/2010",1,606,2010
"563",3,"11/10/2010",1,272,2010
"564",3,"11/10/2010",1,272,2010
"565",0,"11/10/2010",2,350,2010
"566",0,"11/10/2010",2,350,2010
"567",0,"12/10/2010",1,12,2010
"568",0,"12/10/2010",1,12,2010
"569",1,"12/10/2010",2,45,2010
"570",1,"12/10/2010",2,45,2010
"571",0,"12/10/2010",1,136,2010
"572",0,"12/10/2010",1,136,2010
"573",1,"12/10/2010",1,609,2010
"574",1,"12/10/2010",1,609,2010
"575",0,"12/10/2010",2,657,2010
"576",0,"12/10/2010",2,657,2010
"577",1,"13/10/2010",2,199,2010
"578",1,"13/10/2010",2,199,2010
"579",1,"13/10/2010",1,621,2010
"580",1,"13/10/2010",1,621,2010
"581",1,"14/10/2010",1,301,2010
"582",1,"14/10/2010",1,301,2010
"583",2,"15/10/2010",2,469,2010
"584",2,"15/10/2010",2,469,2010
"585",0,"16/10/2010",1,55,2010
"586",0,"16/10/2010",1,55,2010
"587",3,"16/10/2010",2,113,2010
"588",3,"16/10/2010",2,113,2010
"589",0,"16/10/2010",1,364,2010
"590",0,"16/10/2010",1,364,2010
"591",0,"17/10/2010",1,435,2010
"592",0,"17/10/2010",1,435,2010
"593",0,"17/10/2010",1,625,2010
"594",0,"17/10/2010",1,625,2010
"595",3,"19/10/2010",1,19,2010
"596",3,"19/10/2010",1,19,2010
"597",0,"19/10/2010",1,71,2010
"598",0,"19/10/2010",1,71,2010
"599",1,"19/10/2010",3,140,2010
"600",1,"19/10/2010",3,140,2010
"601",0,"20/10/2010",1,120,2010
"602",0,"20/10/2010",1,120,2010
"603",3,"20/10/2010",1,569,2010
"604",3,"20/10/2010",1,569,2010
"605",0,"21/10/2010",2,5,2010
"606",0,"21/10/2010",2,5,2010
"607",3,"21/10/2010",2,180,2010
"608",3,"21/10/2010",2,180,2010
"609",0,"21/10/2010",2,242,2010
"610",0,"21/10/2010",2,242,2010
"611",2,"21/10/2010",1,392,2010
"612",2,"21/10/2010",1,392,2010
"613",0,"21/10/2010",2,645,2010
"614",0,"21/10/2010",2,645,2010
"615",1,"22/10/2010",3,180,2010
"616",1,"22/10/2010",3,180,2010
"617",0,"23/10/2010",3,5,2010
"618",0,"23/10/2010",3,5,2010
"619",1,"23/10/2010",4,140,2010
"620",1,"23/10/2010",4,140,2010
"621",1,"23/10/2010",1,256,2010
"622",1,"23/10/2010",1,256,2010
"623",0,"23/10/2010",2,597,2010
"624",0,"23/10/2010",2,597,2010
"625",0,"23/10/2010",2,637,2010
"626",0,"23/10/2010",2,637,2010
"627",2,"24/10/2010",3,50,2010
"628",2,"24/10/2010",3,50,2010
"629",0,"25/10/2010",1,226,2010
"630",0,"25/10/2010",1,226,2010
"631",1,"25/10/2010",1,308,2010
"632",1,"25/10/2010",1,308,2010
"633",2,"25/10/2010",3,429,2010
"634",2,"25/10/2010",3,429,2010
"635",2,"25/10/2010",2,609,2010
"636",2,"25/10/2010",2,609,2010
"637",1,"25/10/2010",3,703,2010
"638",1,"25/10/2010",3,703,2010
"639",0,"26/10/2010",4,5,2010
"640",0,"26/10/2010",4,5,2010
"641",1,"26/10/2010",1,141,2010
"642",1,"26/10/2010",1,141,2010
"643",1,"26/10/2010",1,152,2010
"644",1,"26/10/2010",1,152,2010
"645",0,"26/10/2010",1,223,2010
"646",0,"26/10/2010",1,223,2010
"647",0,"27/10/2010",1,69,2010
"648",0,"27/10/2010",1,69,2010
"649",0,"27/10/2010",1,522,2010
"650",0,"27/10/2010",1,522,2010
"651",0,"27/10/2010",1,528,2010
"652",0,"27/10/2010",1,528,2010
"653",1,"27/10/2010",2,600,2010
"654",1,"27/10/2010",2,600,2010
"655",3,"28/10/2010",4,180,2010
"656",3,"28/10/2010",4,180,2010
"657",0,"28/10/2010",2,444,2010
"658",0,"28/10/2010",2,444,2010
"659",0,"28/10/2010",1,583,2010
"660",0,"28/10/2010",1,583,2010
"661",2,"29/10/2010",3,79,2010
"662",2,"29/10/2010",3,79,2010
"663",3,"29/10/2010",1,241,2010
"664",3,"29/10/2010",1,241,2010
"665",0,"29/10/2010",2,364,2010
"666",0,"29/10/2010",2,364,2010
"667",0,"30/10/2010",1,185,2010
"668",0,"30/10/2010",1,185,2010
"669",0,"30/10/2010",1,446,2010
"670",0,"30/10/2010",1,446,2010
"671",0,"30/10/2010",1,508,2010
"672",0,"30/10/2010",1,508,2010
"673",1,"30/10/2010",1,513,2010
"674",1,"30/10/2010",1,513,2010
"675",2,"30/10/2010",2,673,2010
"676",2,"30/10/2010",2,673,2010
"677",2,"31/10/2010",2,301,2010
"678",2,"31/10/2010",2,301,2010
"679",0,"31/10/2010",3,612,2010
"680",0,"31/10/2010",3,612,2010
"681",0,"1/11/2010",2,17,2010
"682",0,"1/11/2010",2,17,2010
"683",1,"1/11/2010",1,468,2010
"684",1,"1/11/2010",1,468,2010
"685",1,"2/11/2010",1,162,2010
"686",1,"2/11/2010",1,162,2010
"687",1,"2/11/2010",1,438,2010
"688",1,"2/11/2010",1,438,2010
"689",1,"3/11/2010",1,118,2010
"690",1,"3/11/2010",1,118,2010
"691",0,"3/11/2010",4,597,2010
"692",0,"3/11/2010",4,597,2010
"693",0,"3/11/2010",1,607,2010
"694",0,"3/11/2010",1,607,2010
"695",1,"4/11/2010",2,234,2010
"696",1,"4/11/2010",2,234,2010
"697",0,"4/11/2010",3,350,2010
